,Date and time (UTC),"Version,Booster[b]",Launch site,Payload[c],Orbit,Customer,Description
0,17 December 202108:24[735],F9 B5♺B1051.11,"VSFB,SLC-4E",Starlink Group 2-3,LEO,SpaceX,Second 70-degree inclination Starlink launch. First time a Falcon 9 first stage booster will fly for an eleventh time.
1,19 December 202104:58[735][734][733],F9 B5,"CCSFS,SLC-40",Türksat 5B[736],GTO,Türksat,"The first GTO satellite partially built in Turkey, the 4,500 kg (9,900 lb) satellite is intended to be placed at 42.0° east.[737]"
2,21 December 2021[733]10:06,F9 B5,"KSC,LC-39A",SpaceX CRS-24,LEO (ISS),NASA (CRS),"Fourth of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020.[673] The ELaNa 38 mission, consisting of 4 cubesats, will launch on this flight.[738]"
3,10 January 2022[735],F9 B5,"CCSFS,SLC-40[733]","Transporter-3, SmallSat Rideshare[739]",SSO,Various,NA
4,January 2022[740],F9 B5,"CC,LC-39A or SLC-40",Starlink,LEO,SpaceX,NA
5,January 2022[741]~23:11,F9 B5,"CC,LC-39A or SLC-40",CSG-2,SSO,ASI,"Second COSMO-SkyMed 2nd Generation satellite. Originally scheduled to launch in 2021 on an Arianespace Vega-C rocket, resulting delays caused by the pandemic and two Vega launch failures led to ASI purchasing a Falcon 9 launch contract in September 2021 for the 2.2 ton satellite.[742][743]"
6,2 February 2022[744],F9 B5,"VSFB,SLC-4E",NROL-87[745],SSO[746],NRO,Classified payload. It was expected to be completed by December 2021.[747]
7,21 February 2022[748][749],F9 B5,"KSC,LC-39A",Ax-1(Crew Dragon C207.3 Resilience ♺),LEO (ISS),Axiom Space,"Announced in March 2020, the flight will be the first fully private flight to the ISS.[750] Crew Dragon will be commanded by Axiom professional astronaut Michael López-Alegría.[751]"
8,February 2022[740],F9 B5,"VSFB, SLC-4E",Starlink,LEO,SpaceX,NA
9,March 2022[733][752],F9 B5 ♺[753],"VSFB,SLC-4E",WorldView Legion 1 & 2 Mission 1 (2 Sats)[753],SSO,Maxar,Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[753]
10,March 2022[754],F9 B5,VSFB or CC[755]SLC-4E,"Transporter-4, SmallSat Rideshare",SSO,Various,"Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Payloads expected to include Bluewalker-3,[756] D-Orbit ION, Hawk-6A/6B/6C, CNCE (2), Heron Mk II, GNOMES-3,  Kilimanjaro-1[757][758]"
11,Q1 2022[759],F9 B5,"KSC,LC-39A",IM-1 Nova-C lunar lander,TLI,NASA (CLPS)Intuitive Machines,"First mission of NASA's Commercial Lunar Payload Services program, and would be the first private American company to land a spacecraft on the Moon. The lander is expected to carry five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES) and transmit data from the lunar surface in a mission lasting 2 weeks.[760][761][762] DOGE-1 will be a secondary rideshare payload massing 40 kg.[763][764]"
12,Q1 2022[765][766],F9 B5 ♺[753],"VSFB,SLC-4E",WorldView Legion 3-6 Mission 2 (4 sats)[753][767],SSO,NA,Maxar Technologies built satellites.
13,Early 2022[768],"Falcon HeavyB1064.1, B1065.1, B1066","KSC,LC-39A",USSF-44[747] LDPE-2 (with 6 payloads)[769][770],GEO,USSF and Lockheed Martin Space,"Classified payload totaling 3,750 kg (8,270 lb). The launch will use new side-boosters and a new center core. It will be the first Falcon Heavy launch to deliberately expend the center core and thus lacks the grid fins and landing gear needed for a landing,[771] while the two side-boosters will be targeting a simultaneous landing on droneships, JRTI and ASOG.[772][773][678] First SpaceX launch to perform a direct injection of a satellite into geostationary orbit. Secondary payload Tetra-1,[774] LINUSS A1 and A2 on a space tug, LDPE-2."
14,Early 2022[775],F9 B5,"CC,LC-39A or SLC-40","O3b mPOWER 1, 2 and 3",MEO,SES,"In September 2019, SES signed a contract to launch the first part of their seven MEO satellites for its O3b low-latency, high-performance connectivity services.[776][777]"
15,15 April 2022[778],F9 B5 ♺,"KSC,LC-39A",Crew-4[587],LEO (ISS),NASA (CTS)[499],NASA has awarded six missions with Crew Dragon to carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.[499] First two astronauts are NASA's Kjell Lindgren and Bob Hines.[779]
16,April 2022[780],F9 B5,"CC,LC-39A or SLC-40",Nilesat-301[781],GTO,Nilesat,"Built by Thales Alenia Space, the Egyptian satellite will be stationed at 7.0° west.[781]"
17,May 2022[782],F9 B5,"KSC,LC-39A",SpaceX CRS-25[673],LEO (ISS),NASA (CRS),Fifth of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020.[673]
18,June 2022[783],F9 B5,"VSFB,SLC-4E","Transporter-5, SmallSat Rideshare",SSO,Various,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.
